256	10
Fp1	Fp2	F3	F4	F7	F8	Fz	C3	C4	Cz	T3	T5	T4	T6	P3	P4	Pz	O1	O2
-14.1800216586557	-19.2004144899672	-16.0219811947814	-18.028606552224	-9.82978042572671	-17.3584549538415	-14.3485169176776	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.3380621225299	-7.15300346990158	-12.3380621225299	-15.183334337377	-13.5098700602731	-15.6849906767376	-12.6750526405737	-11.3347494438086	-16.3551422751202
-14.3485169176776	-19.2004144899672	-15.8534859357595	-18.028606552224	-9.82978042572671	-17.3584549538415	-14.3485169176776	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.3380621225299	-6.98450821087968	-12.3380621225299	-15.183334337377	-13.5098700602731	-15.8534859357595	-12.6750526405737	-11.1700836224918	-16.3551422751202
-14.3485169176776	-19.2004144899672	-15.8534859357595	-17.8601112932021	-9.99827568474861	-17.3584549538415	-14.3485169176776	-14.1800216586557	-17.6916160341802	-20.0352319096666	-12.3380621225299	-7.15300346990158	-12.3380621225299	-15.183334337377	-13.5098700602731	-15.6849906767376	-12.6750526405737	-11.1700836224918	-16.3551422751202
-14.1800216586557	-19.2004144899672	-15.8534859357595	-17.8601112932021	-9.82978042572671	-17.3584549538415	-14.3485169176776	-14.1800216586557	-17.6916160341802	-19.8667366506447	-12.1733963012131	-7.15300346990158	-12.3380621225299	-15.183334337377	-13.5098700602731	-15.6849906767376	-12.6750526405737	-11.1700836224918	-16.3551422751202
-14.3485169176776	-19.2004144899672	-15.8534859357595	-17.8601112932021	-9.82978042572671	-17.3584549538415	-14.3485169176776	-14.1800216586557	-17.6916160341802	-20.0352319096666	-12.3380621225299	-6.98450821087968	-12.3380621225299	-15.0148390783551	-13.5098700602731	-15.8534859357595	-12.6750526405737	-11.3347494438086	-16.1866470160983
-14.1800216586557	-19.2004144899672	-15.8534859357595	-17.8601112932021	-9.82978042572671	-17.3584549538415	-14.3485169176776	-14.0115263996338	-17.5269502128634	-19.7020708293278	-12.1733963012131	-6.98450821087968	-12.1733963012131	-15.0148390783551	-13.3452042389563	-15.6849906767376	-12.5065573815518	-11.1700836224918	-16.1866470160983
-14.3485169176776	-19.2004144899672	-16.0219811947814	-17.8601112932021	-9.99827568474861	-17.3584549538415	-14.3485169176776	-14.3485169176776	-17.6916160341802	-20.0352319096666	-12.3380621225299	-7.15300346990158	-12.3380621225299	-15.183334337377	-13.5098700602731	-15.6849906767376	-12.6750526405737	-11.3347494438086	-16.5236375341421
-14.0115263996338	-19.0319192309453	-15.8534859357595	-17.8601112932021	-9.82978042572671	-17.3584549538415	-14.1800216586557	-14.0115263996338	-17.5269502128634	-19.5335755703059	-12.1733963012131	-6.81984238956282	-12.1733963012131	-15.0148390783551	-13.3452042389563	-15.6849906767376	-12.5065573815518	-11.1700836224918	-16.1866470160983
-14.5131827389944	-19.365080311284	-16.0219811947814	-17.8601112932021	-9.99827568474861	-17.3584549538415	-14.5131827389944	-14.3485169176776	-17.8601112932021	-20.3683929900053	-12.5065573815518	-7.32149872892347	-12.5065573815518	-15.183334337377	-13.678365319295	-16.0219811947814	-12.8397184618906	-11.3347494438086	-16.5236375341421
-13.678365319295	-18.8634239719234	-15.6849906767376	-17.8601112932021	-9.66128516670481	-17.5269502128634	-14.0115263996338	-13.678365319295	-17.1899596948196	-19.2004144899672	-11.8364057831693	-6.65134713054093	-12.0049010421912	-14.8501732570382	-13.1767089799344	-15.5164954177157	-12.1733963012131	-10.833093104448	-15.8534859357595
